country,genres,name,ratings,time
"Италия, США","Драмы, Зарубежные","Стромболи, земля Божья",IMDb: 7.3 (6 065) Кинопоиск: 7.58 (809),101 мин.
США,"Комедии, Триллеры, Детективы, Зарубежные",Позднее шоу,IMDb: 6.9 (2 471) Кинопоиск: 6.54 (88),93 мин.
Япония,"Драмы, Мелодрамы, Исторические, Зарубежные",Жена шпиона,IMDb: 6.3 (438),115 мин.
Россия,"Драмы, Мелодрамы, Наши",Миленький ты мой...,IMDb: 6.2 (5),74 мин.
США,"Драмы, Фантастика, Ужасы, Зарубежные",Дух Франкенштейна / Призрак Франкенштейна,IMDb: 6.2 (5 618) Кинопоиск: 5.99 (534),67 мин.
Великобритания,"Фантастика, Ужасы, Зарубежные",Планета ужасов,IMDb: 3.9 (3 083) Кинопоиск: 3.62 (219),93 мин.
"США, Италия, Гондурас","Мелодрамы, Комедии, Зарубежные",Маленькие итальянские каникулы,IMDb: 3.9 (215),78 мин.
Австралия,"Фэнтези, Драмы, Триллеры, Детективы, Ужасы, Зарубежные",Арлекин,IMDb: 6.2 (1 254) Кинопоиск: 6.47 (181),95 мин.
Корея Южная,"Драмы, Триллеры, Зарубежные",Конец апреля,IMDb: 5.6 (220),120 мин.
Италия,"Комедии, Мелодрамы, Зарубежные",Противоположные полюсы,IMDb: 5.6 (606),90 мин.
Италия,"Комедии, Мелодрамы, Зарубежные",Все хотят этого,IMDb: 5.2 (386),85 мин.
США,"Ужасы, Зарубежные",Рассвет зверя,IMDb: 4.5 (69),82 мин.
СССР,"Драмы, Комедии, Мюзиклы, Наши",На подмостках сцены,IMDb: 7.0 (31) Кинопоиск: 7.24 (542),89 мин.
США,"Фэнтези, Триллеры, Ужасы, Зарубежные",Чернокнижник 3: Последняя битва,IMDb: 3.9 (1 958) Кинопоиск: 3.68 (1 087),91 мин.
СССР,"Семейные, Наши",Вот моя деревня...,IMDb: 6.8 (9) Кинопоиск: 6.64 (175),150 мин.
США,"Фантастика, Боевики, Зарубежные",Полицейский-каратист,IMDb: 2.7 (625) Кинопоиск: 4.43 (107),90 мин.
СССР,"Драмы, Зарубежные",Вот моя деревня...,IMDb: 6.3 (31) Кинопоиск: 6.73 (260),92 мин.
Великобритания,"Драмы, Криминал, Зарубежные",Убийство — дело семейное,IMDb: 6.5 (3 509),93 мин.
СССР,"Приключения, Семейные, Зарубежные",Происшествие,,80 мин.
Великобритания,"Комедии, Драмы, Мелодрамы, Зарубежные",Трава зеленее,IMDb: 6.5 (4 612) Кинопоиск: 6.45 (266),104 мин.
Франция,"Комедии, Драмы, Зарубежные",Просто черный,IMDb: 6.3 (1 142),90 мин.
СССР,"Драмы, Наши",Из жизни Федора Кузькина,IMDb: 7.7 (41) Кинопоиск: 7.92 (2 051),182 мин.
США,"Фантастика, Боевики, Ужасы, Зарубежные",Эволвер,IMDb: 5.6 (1 056) Кинопоиск: 6.56 (548),87 мин.
США,"Драмы, Детективы, Криминал, Зарубежные",Мой пистолет быстр,IMDb: 6.2 (588),90 мин.
"Аргентина, Испания","Драмы, Зарубежные",Последние изображения кораблекрушения,IMDb: 7.2 (322) Кинопоиск: 7.60 (109),131 мин.
Корея Южная,"Комедии, Мелодрамы, Семейные, Зарубежные",Брак по случайности,IMDb: 5.2 (73),87 мин.
"Австралия, США","Драмы, Триллеры, Криминал, Детективы, Зарубежные",Засуха,IMDb: 7.3 (3 328),117 мин.
Италия,"Комедии, Зарубежные","Боже мой, как низко я пала!",IMDb: 7.0 (482) Кинопоиск: 6.76 (364),108 мин.
США,"Приключения, Детективы, Исторические, Зарубежные",Эпоха вероломства,IMDb: 6.4 (207) Кинопоиск: 6.72 (141),93 мин.
country,genres,name,ratings,time
Камерун,"Драмы, Зарубежные",Дневник рыбака,IMDb: 7.0 (33),143 мин.
"США, Канада","Фантастика, Приключения, Зарубежные",Поступь хаоса,IMDb: 5.7 (7 910) Кинопоиск: 5.98 (2 702),109 мин.
США,"Фэнтези, Триллеры, Ужасы, Зарубежные",Чернокнижник 3: Последняя битва,IMDb: 3.9 (1 958) Кинопоиск: 3.68 (1 087),91 мин.
Великобритания,"Комедии, Драмы, Мелодрамы, Зарубежные",Трава зеленее,IMDb: 6.5 (4 612) Кинопоиск: 6.45 (266),104 мин.
СССР,"Семейные, Наши",Вот моя деревня...,IMDb: 6.8 (9) Кинопоиск: 6.64 (175),150 мин.
США,"Ужасы, Зарубежные",Рассвет зверя,IMDb: 4.5 (69),82 мин.
СССР,"Драмы, Зарубежные",Вот моя деревня...,IMDb: 6.3 (31) Кинопоиск: 6.73 (260),92 мин.
Великобритания,"Драмы, Криминал, Зарубежные",Убийство — дело семейное,IMDb: 6.5 (3 509),93 мин.
США,"Фантастика, Боевики, Зарубежные",Полицейский-каратист,IMDb: 2.7 (625) Кинопоиск: 4.43 (107),90 мин.
